MASTER,niconico,初音ミクの激唱,14.2
MASTER,チュウマイ,7thSense,14.0
MASTER,チュウマイ,エンドマークに希望と涙を添えて,14.2
MASTER,オンゲキ,Dazzle hop,14.0
MASTER,VARIETY,GOODRAGE,14.0
MASTER,チュウマイ,怒槌,14.5
MASTER,チュウマイ,混沌を越えし我らが神聖なる調律主を讃えよ,14.3
LUNATIC,LUNATIC,初音ミクの激唱,14.2
MASTER,オンゲキ,MEGATON BLAST,14.6
MASTER,オンゲキ,心,14.6
MASTER,チュウマイ,Garakuta Doll Play,14.3
MASTER,オンゲキ,Aenbharr,14.5
LUNATIC,LUNATIC,Calamity Fortune,14.1
MASTER,VARIETY,FREEDOM DiVE (tpz Overcute Remix),14.1
MASTER,オンゲキ,Desperado Waltz,14.4
MASTER,オンゲキ,GEOMETRIC DANCE,14.6
MASTER,東方Project,Imperishable Night 2006 (2016 Refine),14.2
MASTER,チュウマイ,SILENT BLUE,14.1
MASTER,チュウマイ,World Vanquisher,14.6
MASTER,POPS＆ANIME,ジングルベル,14.0
MASTER,オンゲキ,ヒトリボッチサテライト,14.5
MASTER,チュウマイ,folern,14.3
MASTER,オンゲキ,R'N'R Monsta,14.0
MASTER,オンゲキ,Galaxy Blaster,14.3
MASTER,VARIETY,Air,14.5
MASTER,チュウマイ,Genesis,14.2
MASTER,チュウマイ,Glorious Crown (tpz over-Over-OVERCUTE REMIX),14.5
MASTER,VARIETY,felys -final remix-,14.1
MASTER,オンゲキ,PinqPiq (xovevox Remix),14.2
LUNATIC,LUNATIC,luna blu,14.6
MASTER,オンゲキ,Daydreama,14.1
MASTER,オンゲキ,Stargazing Dreamer,14.3
MASTER,東方Project,ナイト・オブ・ナイツ (xi Remix),14.0
MASTER,チュウマイ,雷切-RAIKIRI-,14.4
MASTER,VARIETY,Sound Chimera,14.2
MASTER,チュウマイ,Oshama Scramble! (Cranky Remix),14.1
MASTER,VARIETY,Jack-the-Ripper◆,14.3
MASTER,チュウマイ,宛城、炎上！！,14.4
MASTER,オンゲキ,LiftOff,14.1
MASTER,東方Project,Satori ～3rd EyEs (2020 Recall),14.2
MASTER,VARIETY,Singularity - ETIA.,14.2
MASTER,VARIETY,Grievous Lady,14.4
MASTER,チュウマイ,Climax,14.5
MASTER,POPS＆ANIME,カナリア,14.1
MASTER,オンゲキ,See The Light,14.2
MASTER,オンゲキ,美夜月鏡,14.4
LUNATIC,LUNATIC,ハッピータイフーン,14.0
